id, citation
Title 2 Article 1 Citation 4,for the purposes of sections 145.00 145.05 145.10 and 145.12 of this article: "property of another" shall include all property in which another person has an ownership interest whether or not a person who damages such property or any other person may also have an interest in such property. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 2 Article 1 Citation 5,a person is guilty of criminal tampering in the third degree when having no right to do so nor any reasonable ground to believe that he has such right he tampers with property of another person with intent to cause substantial inconvenience to such person or to a third person. criminal tampering in the third degree is a class b misdemeanor. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 2 Article 1 Citation 6,a person is guilty of criminal tampering in the second degree when having no right to do so nor any reasonable ground to believe that he has such right he or she tampers or makes connection with property of a gas electric sewer steam or water-works corporation telephone or telegraph corporation common carrier  nuclear  powered  electric generating facility or public utility operated by a municipality or district; except that in any prosecution under this section it is an affirmative defense that the defendant did not engage in such conduct for a larcenous or otherwise unlawful or wrongful purpose. criminal tampering in the second degree is a class a misdemeanor. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 2 Article 1 Citation 7,a person is guilty of criminal tampering in the first degree when with intent to cause a substantial interruption or impairment of a service rendered to the public and having no right to do so nor any reasonable ground to believe that he or she has such right he or she damages or tampers with property of a gas electric sewer steam or water-works corporation telephone or telegraph corporation common carrier nuclear powered electric generating facility or public utility operated by a municipality or district and thereby causes such substantial interruption or impairment of service. criminal tampering in the first degree is a class d felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 2 Article 1 Citation 8,a person is guilty of cemetery desecration in the second degree when: (a) with intent to damage property of another person and having no right to do so nor any reasonable ground to believe that he has such right he damages any real or personal property maintained as a cemetery plot grave burial place or other place of interment of human remains; or (b) with intent to steal personal property he steals personal property which is located at a cemetery plot grave burial place or other place of interment of human remains and which property is owned by the person or organization which maintains or owns such place or the estate next-of-kin or representatives of the deceased person interred there. cemetery desecration in the second degree is a class a misdemeanor. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 2 Article 1 Citation 9,a person is guilty of cemetery desecration in the first degree when with intent to damage property of another person and having no right to do so nor any reasonable ground to believe that he has such right he: (a) damages any real or personal property maintained as a cemetery plot grave burial place or other place of interment of human remains in an amount exceeding two hundred fifty dollars; or (b) with intent to steal personal property he steals personal property the value of which exceeds two hundred fifty dollars which is located at a cemetery plot grave burial place or other place of interment of human remains and which property is owned by the person or organization  which maintains or owns such place or the estate next-of-kin or representatives of the deceased person interred there; or (c) commits the crime of cemetery desecration in the second degree as defined in section 145.22 of this article and has been previously convicted of the crime of cemetery desecration in the second degree within the preceding five years. cemetery desecration in the first degree is a class e felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 2 Article 1 Citation 10,a person is guilty of reckless endangerment of property when he recklessly engages in conduct which creates a substantial risk of damage to the property of another person in an amount exceeding two hundred fifty dollars. reckless endangerment of property is a class b misdemeanor. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 2 Article 1 Citation 11,a person is guilty of aggravated cemetery desecration in the second degree when having no right to do so nor any reasonable ground to believe that he or she has such right he or she opens a casket crypt or similar vessel containing a human body or human remains which has been buried or otherwise interred in a cemetery and unlawfully removes therefrom a body bodily part any human remains or any object contained in such casket crypt or similar vessel for the purpose of obtaining unlawful possession of such body bodily part human remains or object for such person or a third person. aggravated cemetery desecration in the second degree is a class e felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 2 Article 1 Citation 12,a person is guilty of aggravated cemetery desecration in the first degree when such person commits the crime of aggravated cemetery desecration in the second degree and has been previously convicted within the past five years of the crime of cemetery desecration in the second degree as defined in section 145.22 of this article cemetery desecration in the first degree as defined in section 145.23 of this article or aggravated cemetery desecration in the second degree as defined in section 145.26 of this article. aggravated cemetery desecration in the first degree is a class d felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 2 Article 1 Citation 13,1. a person is guilty of unlawfully posting advertisements when having no right to do so nor any reasonable ground to believe that he has such right he posts paints or otherwise affixes to the property of another person any advertisement poster notice or other matter designed to benefit a person other than the owner of the property. 2. where such matter consists of a commercial advertisement it shall be presumed that the vendor of the specified product service or entertainment is a person who placed such advertisement or caused it to be placed upon the property. unlawfully posting advertisements is a violation. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 2 Article 1 Citation 14,for the purposes of sections 145.40 and 145.45 of this article "consumer product" means any drug food beverage or thing which is displayed or offered for sale to the public for administration into or ingestion by a human being or for application to any external surface of a human being. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 2 Article 1 Citation 15,a person is guilty of tampering with a consumer product in the second degree when having no right to do so nor any reasonable ground to believe that he has such right and with intent to cause physical injury to another or with intent to instill in another a fear that he will cause such physical injury he alters adulterates or  otherwise contaminates a consumer product. tampering with a consumer product in the second degree is a class a misdemeanor. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 2 Article 1 Citation 16,a person is guilty of tampering with a consumer product in the first degree when having no right to do so nor any reasonable ground to believe that he has such right and with intent to cause physical injury to another or with intent to instill in another a fear that he will cause such physical injury he alters adulterates or  otherwise contaminates a consumer product and thereby creates a substantial risk of serious physical injury to one or more persons. tampering with a consumer product in the first degree is a class e felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 2 Article 1 Citation 17,1. no person shall throw dump or cause to be thrown dumped deposited or placed upon any railroad tracks or within the limits of the rights-of-way of any railroad any refuse trash garbage rubbish litter or any nauseous or offensive matter. 2. where a highway or road lies in whole or part within a railroad rights-of-way nothing in this section shall be construed as prohibiting the use in a reasonable manner of ashes sand salt or other material for the purpose of reducing the hazard of or providing traction on snow ice or sleet situated on such highway or road. 3. a violation of the provisions of subdivision one of this section shall be punishable by a fine not to exceed two hundred fifty dollars and/or a requirement to perform services for a public or not-for-profit corporation association institution or agency not to exceed eight hours and for any second or subsequent violation by a fine not to exceed five hundred dollars and/or a requirement to perform services for a public or not-for-profit corporation association institution or agency not to exceed eight hours. 4. nothing in this section shall be deemed to apply to a railroad or its employees when matter deposited by them on the railroad tracks or rights-of-way is done pursuant to railroad rules regulations or procedures. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 2 Article 1 Citation 18,1. for purposes of this section the term "graffiti" shall mean the etching painting covering drawing upon or otherwise placing of a mark upon public or private property with intent to damage such property. 2. no person shall make graffiti of any type on any building public or private or any other property real or personal owned by any person firm or corporation or any public agency or instrumentality without the express permission of the owner or operator of said property. making graffiti is a class a misdemeanor. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 2 Article 1 Citation 19,a person is guilty of possession of graffiti instruments when he possesses any tool instrument article substance solution or other compound designed or commonly used to etch paint cover draw upon or otherwise place a mark upon a piece of property which that person has no permission or authority to etch paint cover draw upon or otherwise mark under circumstances evincing an intent to use same in order to damage such property. possession of graffiti instruments is a class b misdemeanor. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 2 Article 1 Citation 20,1. for purposes of this section a "taximeter" means an instrument or device that automatically calculates and displays the charge to a passenger in a vehicle that is licensed to transport members of the public for hire pursuant to local law. 2. for purposes of this section a "taximeter accelerating device" means an instrument or device that causes a taximeter to increase the charge displayed by such taximeter to an amount greater than the maximum amount permitted by local law. 3. a person is guilty of criminal possession of a  taximeter accelerating device when he knowingly possesses with intent to use unlawfully a taximeter accelerating device. if such a device is knowingly possessed there is a rebuttable presumption that it is intended to be used unlawfully. criminal possession of a taximeter accelerating device is a class a misdemeanor. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 2 Article 2 Citation 0,as used in this article 1. "building" in addition to its ordinary meaning includes any structure vehicle or watercraft used  for overnight lodging of persons or used by persons for carrying on business therein.  where a building consists of two or more units separately secured or occupied each unit shall not be deemed a separate building. 2. "motor vehicle" includes every vehicle operated or driven upon a public highway which is propelled by any power other than muscular power except (a) electrically-driven invalid chairs being operated or driven by an invalid (b) vehicles which run only upon rails or tracks and (c) snowmobiles as defined in article forty-seven of the vehicle and traffic law. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 2 Article 2 Citation 1,§ 150.01 arson in the fifth degree. a person is guilty of arson in the fifth degree when he or she intentionally damages property of another without consent of the owner by intentionally starting a fire or causing an explosion. arson in the fifth degree is a class a misdemeanor. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 2 Article 2 Citation 2,1. a person is guilty of arson in the fourth degree when he recklessly damages a building or motor vehicle by intentionally starting a fire or causing an explosion. 2. in any prosecution under this section it is an affirmative defense that no person other than the defendant had a possessory or proprietary interest in the building or motor vehicle. arson in the fourth degree is a class e felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 2 Article 2 Citation 3,1. a person is guilty of arson in the third degree when he intentionally damages a building or motor vehicle by starting a fire or causing an explosion. 2. in any prosecution under this section it is an affirmative defense that (a) no person other than the defendant had a possessory or proprietary interest in the building or motor vehicle or if other persons had such interests all of them consented to the defendant's conduct and (b) the defendant's sole intent was to destroy or damage the building or motor vehicle for a lawful and proper purpose and (c) the defendant had no reasonable ground to believe that his conduct might endanger the life or safety of another person or damage another building or motor vehicle. arson in the third degree is a class c felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 2 Article 2 Citation 4,a person is guilty of arson in the second degree when he intentionally damages a building or motor vehicle by starting a fire and when (a) another person who is not a participant in the crime is present in such building or motor vehicle at the time and (b) the defendant knows that fact or the circumstances are such as to render the presence of such a person therein a reasonable possibility. arson in the second degree is a class b felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 2 Article 2 Citation 5,1. a person is guilty of arson in the first degree when he intentionally damages a building or motor vehicle by causing an explosion or a fire and when (a) such explosion or fire is caused by an incendiary device propelled thrown or placed inside or near such building or motor vehicle; or when such explosion or fire is caused by an explosive; or when such explosion or fire either (i) causes serious physical injury to another person other than a participant or (ii) the explosion or fire was caused with the expectation or receipt of financial advantage or pecuniary profit by the actor; and when (b) another person who is not a participant in the crime is present in such building or motor vehicle at the time; and (c) the defendant knows that fact or the circumstances are such as to render the presence of such person therein a reasonable possibility. 2. as used in this section "incendiary device" means a breakable container designed to explode or produce uncontained combustion upon impact containing flammable liquid and having a wick or a similar device capable of being ignited. arson in the first degree is a class a-i felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 3 Article 0 Citation 0,the following definitions are applicable to this title: 1. "property" means any money personal property real property computer data computer program thing in action evidence of debt or contract or any article substance or thing of value including any gas steam water or electricity which is provided for a charge or compensation. 2. "obtain" includes but is not limited to the bringing about of a transfer or purported transfer of property or of a legal interest therein whether to the obtainer or another. 3. "deprive." to "deprive" another of property means (a) to withhold it or cause it to be withheld from him permanently or for so extended a period or under such circumstances that the major portion of its economic value or benefit is lost to him or (b) to dispose of the property in such manner or under such circumstances as to render it unlikely that an owner will recover such property. 4. "appropriate." to "appropriate" property of another to oneself or a third person means (a) to exercise control over it or to aid a third person to exercise control over it permanently or for so extended a period or under such circumstances as to acquire the major portion of its economic value or benefit or (b) to dispose of the property for the benefit of oneself or a third person. 5. "owner." when property is taken obtained or withheld by one person from another person an "owner" thereof means any person who has a right to possession thereof superior to that of the taker obtainer or withholder. a person who has obtained possession of property by theft or other illegal means shall be deemed to have a right of possession superior to that of a person who takes obtains or withholds it from him by larcenous means. a joint or common owner of property shall not be deemed to have a right of possession thereto superior to that of any other joint or common owner thereof. in the absence of a specific agreement to the contrary a person in lawful possession of property shall be deemed to have a right of possession superior to that of a person having only a security interest therein even if legal title lies with the holder of the security interest pursuant to a conditional sale contract or other security agreement. 6.  "secret  scientific  material"  means  a  sample  culture micro-organism specimen record recording document drawing or any other article material device or substance  which  constitutes represents evidences reflects or records a scientific or technical process invention or formula or any part or phase thereof and which is not and is not intended to be available to anyone other than the person or persons rightfully in possession thereof or selected persons having access thereto with his or their consent and when it accords or may accord such rightful possessors an advantage over competitors or other persons who do not have knowledge or the benefit thereof. 7. "credit card" means any instrument or article defined as a credit card in section five hundred eleven of the general business law. 7-a. "debit card" means any instrument or article defined as a debit card in section five hundred eleven of the general business law. 7-b. "public benefit card" means any medical assistance card food stamp  assistance  card  public  assistance  card or any other identification authorization card or electronic access device issued by the state or a social services district as defined in subdivision seven of section two of the social services law which entitles a person to obtain public assistance benefits under a local state or federal program administered by the state its political subdivisions or social services districts. 7-c. "access device" means any telephone calling card number credit card number account number mobile identification number electronic serial number or personal identification number that can be used to obtain telephone service. 8. "service" includes but is not limited to labor professional service a computer service transportation service the supplying of hotel accommodations restaurant services entertainment the supplying of equipment for use and the supplying of commodities of a public utility nature such as gas electricity steam and water. a ticket or equivalent instrument which evidences a right to receive a service is not in itself service but constitutes property within the meaning of subdivision one. 9. "cable television service" means any and all services provided by or through the facilities of any cable television system or closed circuit coaxial cable communications system or any microwave or similar transmission service used in connection with any cable television system or other similar closed circuit coaxial cable communications system. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 3 Article 0 Citation 1,1. a person steals property and commits larceny when with intent to deprive another of property or to appropriate the same to himself or to a third person he wrongfully takes obtains or withholds such property from an owner thereof. 2. larceny includes a wrongful taking obtaining or withholding of another's property with the intent prescribed in subdivision one of this section committed in any of the following ways: (a) by conduct heretofore defined or known as common law larceny by trespassory taking common law larceny by trick embezzlement or obtaining property by false pretenses; (b) by acquiring lost property. a person acquires lost property when he exercises control over property of another which he knows to have been lost or mislaid or to have been delivered under a mistake as to the identity of the recipient or the nature or amount of the property without taking reasonable measures to return such property to the owner; (c) by committing the crime of issuing a bad check as defined in section 190.05; (d) by false promise. a person obtains property by false promise when pursuant to a scheme to defraud he obtains property of another by means of a representation express or implied that he or a third person will in the future engage in particular conduct and when he does not intend to engage in such conduct or as the case may be does not believe that the third person intends to engage in such conduct. in any prosecution for larceny based upon a false promise the defendant's intention or belief that the promise would not be performed may not be established by or inferred from the fact alone that such promise was not performed. such a finding may be based only upon evidence establishing that the facts and circumstances of the case are wholly consistent with guilty intent or belief and wholly inconsistent with innocent intent or belief and excluding to a moral certainty every hypothesis except that of the defendant's intention or belief that the promise would not be performed; (e) by extortion. a person obtains property by extortion when he compels or induces another person to deliver such property to himself or to a third person by means of instilling in him a fear that if the property is not so delivered the actor or another will: (i) cause physical injury to some person in the future; or (ii) cause damage to property; or (iii) engage in other conduct constituting a crime; or (iv) accuse some person of a crime or cause criminal charges to be instituted against him; or (v) expose a secret or publicize an asserted fact whether true or false tending to subject some person to hatred contempt or ridicule; or (vi) cause a strike boycott or other collective labor group action injurious to some person's business; except that such a threat shall not be deemed extortion when the property is demanded or received for the benefit of the group in whose interest the actor purports to act; or (vii) testify or provide information or withhold testimony  or information with respect to another's legal claim or defense; or (viii) use or abuse his position as a public servant by performing some act within or related to his official duties or by failing or refusing to perform an official duty in such manner as to affect some person adversely; or (ix) perform any other act which would not in itself materially benefit the actor but which is calculated to harm another person materially with respect to his health safety business calling career financial condition reputation or personal relationships. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 3 Article 0 Citation 2,the crimes of (a) larceny committed by means of extortion and an attempt to commit the same and (b) bribe receiving by a labor official as defined in section 180.20 and bribe receiving as defined in section 200.05 are not mutually exclusive and it is no defense to a prosecution for larceny committed by means of extortion or for an attempt to commit the same that by reason of the same conduct the defendant  also committed one of such specified crimes of bribe receiving. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 3 Article 0 Citation 3,1. in any prosecution for larceny committed by trespassory taking or embezzlement it is an affirmative defense that the property was appropriated under a claim of right made in good faith. 2. in any prosecution for larceny by extortion committed by instilling in the victim a fear that he or another person would be charged with a crime it is an affirmative defense that the defendant reasonably believed the threatened charge to be true and that his sole purpose was to compel or induce the victim to take reasonable action to make good the wrong which was the subject of such threatened charge. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 3 Article 0 Citation 4,for the purposes of this title the value of property shall be ascertained as follows: 1. except as otherwise specified in this section value means the market value of the property at the time and place of the crime or if such cannot be satisfactorily ascertained the cost of replacement of the property within a reasonable time after the crime. 2. whether or not they have been issued or delivered certain written instruments not including those having a readily ascertainable market value such as some public and corporate bonds and securities shall be evaluated as follows: (a) the value of an instrument constituting an evidence of debt such as a check draft or promissory note shall be deemed the amount due or collectable thereon or thereby such figure ordinarily being the face amount of the indebtedness less any portion thereof which has been satisfied. (b) the value of a ticket or equivalent instrument which evidences a right to receive a transportation entertainment or other service shall be deemed the price stated thereon if any; and if no price is stated thereon the value shall be deemed the price of such ticket or equivalent instrument which the issuer charges the general public. (c) the value of any other instrument which creates releases discharges or otherwise affects any valuable legal right privilege or obligation shall be deemed the greatest amount of economic loss which the owner of the instrument might reasonably suffer by virtue of the loss of the instrument. 3. where the property consists of gas steam water or electricity which is provided for charge or compensation the value shall be the value of the property stolen in any consecutive twelve-month period. 4. when the value of property cannot be satisfactorily ascertained pursuant to the standards set forth in subdivisions one and two of this section its value shall be deemed to be an amount less than two hundred fifty dollars. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 3 Article 0 Citation 5,a person is guilty of petit larceny when he steals property. petit larceny is a class a misdemeanor. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 3 Article 0 Citation 6,a person is guilty of grand larceny in the fourth degree when he steals property and when: 1. the value of the property exceeds one thousand dollars; or 2. the property consists of a public record writing or instrument kept filed or deposited according to law with or in the keeping of any public office or public servant; or 3. the property consists of secret scientific material; or 4. the property consists of a credit card or debit card; or 5. the property regardless of its nature and value is taken from the person of another; or 6. the property regardless of its nature and value is obtained by extortion; or 7. the property consists of one or more firearms rifles or shotguns as such terms are defined in section 265.00 of this chapter; or 8. the value of the property exceeds one hundred dollars and the property consists of a motor vehicle as defined in section one hundred twenty-five of the vehicle and traffic law other than a motorcycle as defined in section one hundred twenty-three of such law; or 9. the property consists of a scroll religious vestment a vessel an item  comprising  a  display of religious symbols which forms a representative expression of faith or other miscellaneous item of property which: (a) has a value of at least one hundred dollars; and (b) is kept for or used in connection with religious worship in any building structure or upon the curtilage of such building or structure used as a place of religious worship by a religious corporation as incorporated under the religious corporations law or the education law. 10. the property consists of an access device which the person intends to use unlawfully to obtain telephone service. 11. the property consists of anhydrous ammonia or liquified ammonia gas and the actor intends to use or knows another person intends to use such anhydrous ammonia or liquified ammonia gas to manufacture methamphetamine. grand larceny in the fourth degree is a class e felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 3 Article 0 Citation 7,a person is guilty of grand larceny in the third degree when he or she steals property and: 1. when the value of the property exceeds three thousand dollars or 2. the property is an automated teller machine or the contents of an automated teller machine. grand larceny in the third degree is a class d felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 3 Article 0 Citation 8,a person is guilty of grand larceny in the second degree when he steals property and when: 1. the value of the property exceeds fifty thousand dollars; or 2. the property regardless of its nature and value is obtained by extortion committed by instilling in the victim a fear that the actor or another person will (a) cause physical injury to some person in the future or (b) cause damage to property or (c) use or abuse his position as a public servant by engaging in conduct within or related to his official duties or by failing or refusing to perform an official duty in such manner as to affect some person adversely. grand larceny in the second degree is a class c felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 3 Article 0 Citation 9,a person is guilty of grand larceny in the first degree when he steals property and when the value of the property exceeds one million dollars. grand larceny in the first degree is a class b felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 3 Article 0 Citation 10,a person is guilty of aggravated grand larceny of an automated teller machine when he or she commits the crime of grand larceny in the third degree as defined in subdivision two of section 155.35 of this article and has been previously convicted of grand larceny in the third degree within the previous five years. aggravated grand larceny of an automated teller machine is a class c felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 3 Article 0 Citation 11,1. where it is an element of the crime charged that property was taken from the person or obtained by extortion an indictment for larceny must so specify. in all other cases an indictment information or complaint for larceny is sufficient if it alleges that the defendant stole property of the nature or value required for the commission of the crime charged without designating the particular way or manner in which such property was stolen or the particular theory of larceny involved. 2. proof that the defendant engaged in any conduct constituting larceny as defined in section 155.05 is sufficient to support any indictment information or complaint for larceny other than one charging larceny by extortion. an indictment charging larceny by extortion must be supported by proof establishing larceny by extortion. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 3 Article 1 Citation 0,the following definitions are applicable to this chapter except where different meanings are expressly specified: 1. "computer" means a device or group of devices  which  by manipulation  of  electronic magnetic optical or electrochemical impulses pursuant to a computer program can automatically perform arithmetic logical storage or retrieval operations with or on computer data and includes any connected or directly related device equipment or facility which enables such computer to store  retrieve  or communicate to or from a person another computer or another device the results of computer operations computer programs or computer data. 2. "computer program" is property and means an ordered set of data representing coded instructions or statements that when executed by computer cause the computer to process data or direct the computer to perform one or more computer operations or both and may be in any form including magnetic storage media punched cards or stored internally in the memory of the computer. 3. "computer data" is property and means a representation  of information knowledge facts concepts or instructions which are being processed or have been processed in a computer and may be in any form including magnetic storage media punched cards or stored internally in the memory of the computer. 4. "computer service" means any and all services provided by or through the facilities of any computer communication system allowing the input output examination or transfer of computer data or computer programs from one computer to another. 5. "computer material" is property and means any computer data or computer program which: (a) contains records of the medical history or medical treatment of an identified or readily identifiable individual or individuals. this term shall not apply to the gaining access to or duplication solely of the medical history or medical treatment records of a person by that person or by another specifically authorized by the person whose records are gained access to or duplicated; or (b) contains records maintained by the state or any political subdivision thereof or any governmental instrumentality within the state which contains any information concerning a person as defined in subdivision seven of section 10.00 of this chapter which because of name number symbol mark or other identifier can be used to identify the person and which is otherwise prohibited by law from being disclosed. this term shall not apply to the gaining access to or duplication solely of records of a person by that person or by another specifically authorized by the person whose records are gained access to or duplicated; or (c) is not and is not intended to be available to anyone other than the person or persons rightfully in possession thereof or selected persons having access thereto with his her or their consent and which accords or may accord such rightful possessors an advantage over competitors or other persons who do not have knowledge or the benefit thereof. 6. "computer network" means the interconnection of hardwire or wireless communication lines with a computer through remote terminals or a complex consisting of two or more interconnected computers. 7. "access" means to instruct communicate with store data in retrieve from or otherwise make use of any resources of a computer physically directly or by electronic means. 8. "without authorization" means to use or to access a computer computer service or computer network without the permission of the owner or lessor or someone licensed or privileged by the owner or lessor where such person knew that his or her use or access was without permission or after actual notice to such person that such use or access was without permission. it shall also mean the access of a computer service by a person without permission where such person knew that such access was without permission or after actual notice to such person that such access was without permission. proof that such person used or accessed a computer computer service or computer network through the knowing use of a set of instructions code or computer program that bypasses  defrauds  or  otherwise circumvents a security measure installed or used with the user's authorization on the computer computer service or computer network shall be presumptive evidence that such person used or accessed such computer computer service or computer network without authorization. 9. "felony" as used in this article means any felony defined in the laws of this state or any offense defined in the laws of any other jurisdiction for which a sentence to a term of imprisonment in excess of one year is authorized in this state. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 3 Article 1 Citation 1,a person is guilty of unauthorized use of a computer when he or she knowingly uses causes to be used or accesses a computer computer service or computer network without authorization. unauthorized use of a computer is a class a misdemeanor. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 3 Article 1 Citation 2,a person is guilty of computer trespass when he or she knowingly uses causes to be used or accesses a computer computer service or computer network without authorization and: 1. he or she does so with an intent to commit or attempt to commit or further the commission of any felony; or 2. he or she thereby knowingly gains access to computer material. computer trespass is a class e felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 3 Article 1 Citation 3,a person is guilty of computer tampering in the fourth degree when he or she uses causes to be used or accesses a computer computer service or computer network without authorization and he or she intentionally alters in any manner or destroys computer data or a computer program of another person. computer tampering in the fourth degree is a class a misdemeanor. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 3 Article 1 Citation 4,a person is guilty of computer tampering in the third degree when he commits the crime of computer tampering in the fourth degree and: 1. he does so with an intent to commit or attempt to commit or further the commission of any felony; or 2. he has been previously convicted of any crime under this article or subdivision eleven of section 165.15 of this chapter; or 3. he intentionally alters in any manner or destroys computer material; or 4. he intentionally alters in any manner or destroys computer data or a computer program so as to cause damages in an aggregate amount exceeding one thousand dollars. computer tampering in the third degree is a class e felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
Title 3 Article 1 Citation 5,a person is guilty of computer tampering in the second degree when he or she commits the crime of computer tampering in the fourth degree and he or she intentionally alters in any manner or destroys: 1. computer data or a computer program so as to cause damages in an aggregate amount exceeding three thousand dollars; or 2. computer material that contains records of the medical history or medical treatment of an identified or readily identifiable individual or individuals and as a result of such alteration or destruction such individual or individuals suffer serious physical injury and he or she is aware of and consciously disregards a substantial and unjustifiable risk that such serious physical injury may occur. computer tampering in the second degree is a class d felony. ask a lawyer find a lawyer                              subscribe to justia's free newsletters featuring summaries of federal and state court opinions.                
